Source;Target;Weight
master;interest;1.0
master;justice;1.0
master;life;1.0
master;lot;1.0
master;man;1.0
master;master;1.0
master;men;1.0
master;mind;1.0
master;nature;1.0
master;north;1.0
master;other;1.0
master;power;1.0
master;principle;1.0
master;son;1.0
master;sort;1.0
master;soul;1.0
master;state;1.0
master;thing;1.0
master;time;1.0
master;virtue;1.0
master;way;1.0
master;word;1.0
medicine;art;1.0
medicine;interest;1.0
medicine;medicine;1.0
men;guardian;1.0
men;happily;1.0
men;men;1.0
men;state;1.0
mind;action;1.0
mind;art;1.0
mind;case;1.0
mind;desire;1.0
mind;evil;1.0
mind;friend;1.0
mind;god;1.0
mind;injustice;1.0
mind;interest;1.0
mind;justice;1.0
mind;life;1.0
mind;lot;1.0
mind;man;1.0
mind;men;1.0
mind;mind;1.0
mind;nature;1.0
mind;north;1.0
mind;other;1.0
mind;power;1.0
mind;principle;1.0
mind;son;1.0
mind;sort;1.0
mind;soul;1.0
mind;state;1.0
mind;thing;1.0
mind;time;1.0
mind;virtue;1.0
mind;way;1.0
mind;word;1.0
nature;injustice;1.0
nature;justice;1.0
nature;life;1.0
nature;man;1.0
nature;nature;1.0
nature;soul;1.0
nature;state;1.0
north;evil;1.0
north;friend;1.0
north;god;1.0
north;injustice;1.0
north;justice;1.0
north;life;1.0
north;man;1.0
north;men;1.0
north;nature;1.0
north;north;1.0
north;other;1.0
north;power;1.0
north;sort;1.0
north;soul;1.0
north;state;1.0
north;thing;1.0
north;time;1.0
north;way;1.0
north;word;1.0
number;number;1.0
one;citing;1.0
one;citizen;1.0
one;class;1.0
one;eye;1.0
one;govern;1.0
one;guardian;1.0
one;hand;1.0
one;happily;1.0
one;individual;1.0
one;injustice;1.0
one;justice;1.0
one;law;1.0
one;life;1.0
one;man;1.0
one;men;1.0
one;nature;1.0
one;one;1.0
one;order;1.0
one;other;1.0
one;part;1.0
one;potter;1.0
one;power;1.0
one;ruler;1.0
one;sort;1.0
one;soul;1.0
one;state;1.0
one;thing;1.0
one;truth;1.0
one;way;1.0
one;work;1.0
opinion;opinion;1.0
order;citizen;1.0
order;class;1.0
order;guardian;1.0
order;happily;1.0
order;individual;1.0
order;justice;1.0
order;law;1.0
order;life;1.0
order;man;1.0
order;men;1.0
order;nature;1.0
order;order;1.0
order;ruler;1.0
order;state;1.0
order;thing;1.0
order;way;1.0
order;work;1.0
other;injustice;1.0
other;justice;1.0
other;life;1.0
other;man;1.0
other;men;1.0
other;nature;1.0
other;other;1.0
other;soul;1.0
other;state;1.0
other;thing;1.0
pain;pain;1.0
part;citing;1.0
part;citizen;1.0
part;class;1.0
part;guardian;1.0
part;hand;1.0
part;happily;1.0
part;individual;1.0
part;injustice;1.0
part;justice;1.0
part;law;1.0
part;life;1.0
part;man;1.0
part;men;1.0
part;nature;1.0
part;order;1.0
part;other;1.0
part;part;1.0
part;ruler;1.0
part;sort;1.0
part;soul;1.0
part;state;1.0
part;thing;1.0
part;truth;1.0
part;way;1.0
part;work;1.0
philosophic;choice;1.0
philosophic;evil;1.0
philosophic;god;1.0
philosophic;injustice;1.0
philosophic;justice;1.0
philosophic;life;1.0
philosophic;live;1.0
philosophic;lot;1.0
philosophic;man;1.0
philosophic;men;1.0
philosophic;nature;1.0
philosophic;other;1.0
philosophic;philosophic;1.0
philosophic;qualities;1.0
philosophic;sort;1.0
philosophic;soul;1.0
philosophic;state;1.0
philosophic;thing;1.0
philosophic;time;1.0
philosophic;virtue;1.0
philosophic;way;1.0
philosophic;world;1.0
pleasure;pleasure;1.0
poet;god;1.0
poet;men;1.0
poet;poet;1.0
point;Glaucon;1.0
point;Thrasymachus;1.0
point;argument;1.0
point;evil;1.0
point;god;1.0
point;honour;1.0
point;injustice;1.0
point;interest;1.0
point;justice;1.0
point;life;1.0
point;man;1.0
point;manner;1.0
point;men;1.0
point;nature;1.0
point;one;1.0
point;other;1.0
point;point;1.0
point;possessor;1.0
point;power;1.0
point;reputed;1.0
point;reward;1.0
point;ring;1.0
point;sort;1.0
point;soul;1.0
point;state;1.0
point;thing;1.0
point;view;1.0
point;virtue;1.0
point;way;1.0
possessor;Thrasymachus;1.0
possessor;evil;1.0
possessor;god;1.0
possessor;honour;1.0
possessor;injustice;1.0
possessor;interest;1.0
possessor;justice;1.0
possessor;life;1.0
possessor;man;1.0
possessor;manner;1.0
possessor;men;1.0
possessor;nature;1.0
possessor;other;1.0
possessor;possessor;1.0
possessor;power;1.0
possessor;soul;1.0
possessor;state;1.0
possessor;thing;1.0
possessor;view;1.0
possessor;way;1.0
potter;citing;1.0
potter;citizen;1.0
potter;class;1.0
potter;eye;1.0
potter;govern;1.0
potter;guardian;1.0
potter;hand;1.0
potter;happily;1.0
potter;individual;1.0
